用例编号	测试模块	测试点	用例标题	测试接口	请求方法	前置条件	具体操作	请求参数	预期状态码	预期业务码	预期结果	实际结果
TC001	EMPLOYEE	正常登录	登录成功	/admin/employee/login	POST	无	发送有效用户名和密码的登录请求	{"username":"admin","password":"123456"}	200	1	返回token和用户信息	null
TC001	EMPLOYEE	正常登录	登录成功-边界值用户名	/admin/employee/login	POST	无	发送用户名长度为1的登录请求	{"username":"a","password":"123456"}	200	1	返回token和用户信息	null
TC001	EMPLOYEE	参数校验	登录失败-空用户名	/admin/employee/login	POST	无	发送用户名为空的登录请求	{"username":"","password":"123456"}	400	0	提示用户名不能为空	null
TC001	EMPLOYEE	参数校验	登录失败-空密码	/admin/employee/login	POST	无	发送密码为空的登录请求	{"username":"admin","password":""}	400	0	提示密码不能为空	null
TC001	EMPLOYEE	参数校验	登录失败-用户名不存在	/admin/employee/login	POST	无	发送不存在的用户名登录请求	{"username":"nonexist","password":"123456"}	401	0	提示用户名或密码错误	null
TC001	EMPLOYEE	异常场景	登录失败-密码错误	/admin/employee/login	POST	无	发送正确用户名但错误密码的登录请求	{"username":"admin","password":"wrongpass"}	401	0	提示用户名或密码错误	null
TC001	EMPLOYEE	异常场景	登录失败-请求体格式错误	/admin/employee/login	POST	无	发送非JSON格式的请求体	{"username":"admin"}	400	0	提示请求格式错误	null
TC001	EMPLOYEE	异常场景	登录失败-密码为null	/admin/employee/login	POST	无	发送密码字段为null的登录请求	{"username":"admin","password":null}	400	0	提示密码不能为空	null
TC009	EMPLOYEE	正常登录	正确用户名密码登录成功	/admin/employee/login	POST	用户已注册（用户名admin，密码123456）	发送POST请求，请求体包含正确的用户名和密码	{"username":"admin","password":"123456"}	200	null	返回token，登录成功	null
TC009	EMPLOYEE	参数校验	用户名缺失	/admin/employee/login	POST	无	发送POST请求，请求体不包含username字段	{"password":"123456"}	400	null	返回参数校验失败错误信息	null
TC009	EMPLOYEE	参数校验	密码缺失	/admin/employee/login	POST	无	发送POST请求，请求体不包含password字段	{"username":"admin"}	400	null	返回参数校验失败错误信息	null
TC009	EMPLOYEE	参数校验	用户名和密码均为空	/admin/employee/login	POST	无	发送POST请求，请求体中的username和password字段均为空字符串	{"username":"","password":""}	400	null	返回参数校验失败错误信息	null
TC009	EMPLOYEE	边界值	密码长度等于最小值（假设为6）	/admin/employee/login	POST	用户已注册（用户名admin，密码123456）	发送POST请求，密码为6位合法字符	{"username":"admin","password":"123456"}	200	null	返回token，登录成功	null
TC009	EMPLOYEE	边界值	密码长度等于最大值（假设为20）	/admin/employee/login	POST	用户已注册（用户名admin，密码12345678901234567890）	发送POST请求，密码为20位合法字符	{"username":"admin","password":"12345678901234567890"}	200	null	返回token，登录成功	null
TC009	EMPLOYEE	异常场景	用户名不存在	/admin/employee/login	POST	无	发送POST请求，使用未注册的用户名	{"username":"nonexist","password":"123456"}	401	null	返回用户不存在或密码错误提示	null
TC009	EMPLOYEE	异常场景	密码错误	/admin/employee/login	POST	用户已注册（用户名admin，密码123456）	发送POST请求，密码错误	{"username":"admin","password":"wrongpass"}	401	null	返回用户不存在或密码错误提示	null
TC017	EMPLOYEE	正常退出	未登录时退出（无效token）	/admin/employee/logout	POST	用户未登录，无token	1. 准备空token或无效token；2. 发送POST请求	无	401	1001	返回未授权错误，提示token无效或缺失	null
TC017	EMPLOYEE	正常退出	已登录用户正常退出	/admin/employee/logout	POST	用户已登录，获取有效token	1. 使用有效token；2. 发送POST请求	无	200	200	退出成功，返回成功消息，token失效	null
TC017	EMPLOYEE	异常场景	重复退出（同一token多次调用）	/admin/employee/logout	POST	用户已登录，token有效	1. 第一次退出成功；2. 使用同一token再次发送POST请求	无	401	1001	返回token已失效或未授权错误	null
TC017	EMPLOYEE	参数校验	请求体包含额外参数	/admin/employee/logout	POST	用户已登录，获取有效token	1. 在请求体中添加多余参数（如{"reason":"test"}）；2. 发送POST请求	{"reason":"test"}	200	200	接口忽略额外参数，仍退出成功	null
TC017	EMPLOYEE	边界值	token恰好过期时退出	/admin/employee/logout	POST	用户token有效期刚好结束	1. 等待token过期；2. 使用过期token发送POST请求	无	401	1002	返回token过期错误，提示重新登录	null
TC017	EMPLOYEE	边界值	token为空字符串	/admin/employee/logout	POST	用户未登录	1. 设置Authorization头为空字符串；2. 发送POST请求	无	401	1001	返回未授权错误，提示token缺失	null
TC017	EMPLOYEE	异常场景	HTTP方法错误（使用GET）	/admin/employee/logout	POST	用户已登录，获取有效token	1. 使用有效token；2. 发送GET请求到同一URL	无	405	null	返回方法不允许错误	null
TC017	EMPLOYEE	异常场景	服务器内部错误（模拟数据库故障）	/admin/employee/logout	POST	用户已登录，但后端服务异常	1. 模拟数据库连接失败或Redis故障；2. 发送POST请求	无	500	5000	返回服务器内部错误，提示稍后重试	null
TC025	EMPLOYEE	正常登录	新增员工-成功	/admin/employee	POST	用户已登录并获取token	1. 使用有效的token。2. 发送包含所有必填字段的合法请求体。	{"username": "zhangsan", "name": "张三", "phone": "13800138000", "sex": "男", "idNumber": "110101199001011234"}	200	1	返回成功，包含新员工ID，数据库新增记录	null
TC025	EMPLOYEE	参数校验	新增员工-用户名为空	/admin/employee	POST	用户已登录并获取token	1. 使用有效的token。2. 发送请求体，其中username字段为空字符串。	{"username": "", "name": "张三", "phone": "13800138000", "sex": "男", "idNumber": "110101199001011234"}	400	0	返回参数校验失败提示，如“用户名不能为空”	null
TC025	EMPLOYEE	参数校验	新增员工-手机号格式错误	/admin/employee	POST	用户已登录并获取token	1. 使用有效的token。2. 发送请求体，其中phone字段为非法格式（如123）。	{"username": "lisi", "name": "李四", "phone": "123", "sex": "男", "idNumber": "110101199001011235"}	400	0	返回参数校验失败提示，如“手机号格式不正确”	null
TC025	EMPLOYEE	参数校验	新增员工-身份证号格式错误	/admin/employee	POST	用户已登录并获取token	1. 使用有效的token。2. 发送请求体，其中idNumber字段为非法格式（如123）。	{"username": "wangwu", "name": "王五", "phone": "13900139000", "sex": "女", "idNumber": "123"}	400	0	返回参数校验失败提示，如“身份证号格式不正确”	null
TC025	EMPLOYEE	边界值	新增员工-用户名长度边界值（1位）	/admin/employee	POST	用户已登录并获取token	1. 使用有效的token。2. 发送请求体，其中username字段为1个字符。	{"username": "z", "name": "测试", "phone": "13700137000", "sex": "男", "idNumber": "110101199001011236"}	200	1	返回成功，数据库新增记录	null
TC025	EMPLOYEE	边界值	新增员工-用户名长度边界值（32位）	/admin/employee	POST	用户已登录并获取token	1. 使用有效的token。2. 发送请求体，其中username字段为32个字符。	{"username": "a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p", "name": "边界测试", "phone": "13600136000", "sex": "男", "idNumber": "110101199001011237"}	200	1	返回成功，数据库新增记录	null
TC025	EMPLOYEE	异常场景	新增员工-未登录（无token）	/admin/employee	POST	无	1. 不携带token。2. 发送一个合法的请求体。	{"username": "testuser", "name": "测试", "phone": "13500135000", "sex": "女", "idNumber": "110101199001011238"}	401	0	返回认证失败提示，如“未登录”或“Token无效”	null
